gender,job,industry,age,total_spending,average_spending,number_of_transaction
0,2,5,25,90000,90000.0,1
1,1,5,36,45000,45000.0,1
1,4,1,31,90000,90000.0,1
0,4,9,29,180000,180000.0,1
0,3,0,23,90000,90000.0,1
0,0,8,34,90000,90000.0,1
1,1,1,29,90000,90000.0,1
1,2,9,25,90000,90000.0,1
1,3,0,23,90000,90000.0,1
1,4,7,33,315000,105000.0,2
1,1,9,29,90000,90000.0,1
1,0,8,30,135000,135000.0,1
0,2,7,25,180000,90000.0,2
0,1,4,31,90000,90000.0,1
1,1,8,31,180000,90000.0,2
0,4,8,29,180000,90000.0,2
1,4,8,28,225000,112500.0,2
1,2,4,27,225000,112500.0,2
1,2,5,27,360000,90000.0,2
0,0,4,31,90000,90000.0,1
1,4,8,39,540000,135000.0,3
1,0,6,30,135000,67500.0,2
0,4,1,28,90000,90000.0,1
0,2,9,26,270000,135000.0,2
0,3,0,24,135000,67500.0,1
0,4,8,28,45000,45000.0,1
1,4,7,45,225000,225000.0,1
0,3,0,24,45000,45000.0,1
1,1,7,31,90000,90000.0,1
0,0,4,36,225000,112500.0,2
0,2,3,25,360000,90000.0,2
0,4,2,28,270000,90000.0,3
0,2,2,25,225000,112500.0,1
1,1,5,30,90000,90000.0,1
0,1,1,48,135000,135000.0,1
0,0,3,33,180000,180000.0,1
0,1,2,34,90000,90000.0,1
1,1,9,30,90000,90000.0,1
1,0,3,28,90000,90000.0,1
1,4,5,36,135000,135000.0,1
1,4,3,29,450000,90000.0,5
0,1,6,30,135000,67500.0,2
1,2,4,27,180000,90000.0,2
0,0,4,32,450000,90000.0,3
1,0,1,30,225000,75000.0,2
0,1,1,33,90000,90000.0,1
0,3,0,24,180000,90000.0,2
0,1,5,29,90000,90000.0,1
1,2,9,25,90000,90000.0,1
0,4,4,31,180000,180000.0,1
